Key            | Operator
`c`            | change
`d`            | delete
`y`            | yank
`~`            | swap case (or `g~`)
`&gt;`         | shift right (always linewise)
`&lt;`         | shift left (always linewise)
`gu`           | make lowercase
`gU`           | make uppercase
`gq`           | format text
`g@`           | apply function (set by `operatorfunc`)
